"readcode","medcode","recK","recK_ID","medcodeid.nealon","originalreadcode.nealon","snomedctconceptid","snomedctdescriptionid.nealon","recN","recN_ID","recLSHTM","recLSHTM_ID","recP","recP_ID","level","originalreadcode.ds","medcodeid.ds","recDS","recDS_ID","readterm","sctid","medcodeid.primis","originalreadcode.primis","readterm.emis","snomedctdescriptionid.primis","recPRIMIS","recPRIMIS_ID","recADD","source","medcodeid","originalreadcode_a","readcode_a","snomedctconceptid_a","snomedctdescriptionid_a","release_a","emiscodecategoryid_a","snomedctconceptid_clean","snomedctdescriptionid_clean","brand","havebrand"
"65ED400","110854","Kilada","20","1966261000006110","65ED4","985151000000100","2505331000000110","Nealon","29","LSHTM","29",NA,NA,"Seasonal","65ED4","1966261000006111","DS","19","Administration of first inactivated seasonal influenza vaccination","985151000000100","1966261000006111","65ED4",NA,"2505331000000118","PRIMIS","19",NA,"Nealon_LSHTM_Kilada_DS_PRIMIS","1966261000006111","65ED4","65ED400","985151000000100","2505331000000118",NA,"9","985151000000100","2505331000000118","","0"
"65ED500","112172","Kilada","24","1966271000006110","65ED5","985171000000109","2505371000000110","Nealon","30","LSHTM","33",NA,NA,"Seasonal","65ED5","1966271000006116","DS","29","Administration of second inactivated seasonal influenza vaccination","985171000000109","1966271000006116","65ED5",NA,"2505371000000116","PRIMIS","30",NA,"Nealon_LSHTM_Kilada_DS_PRIMIS","1966271000006116","65ED5","65ED500","985171000000109","2505371000000116",NA,"9","985171000000109","2505371000000116","","0"
"65ED600","111474","Kilada","21","1986631000006110","65ED6","1037311000000100","2618081000000110","Nealon","31","LSHTM","30",NA,NA,"Seasonal","65ED6","1986631000006119","DS","72","First intranasal seasonal influenza vaccination given by pharmacist",NA,NA,NA,NA,NA,NA,NA,NA,"Nealon_LSHTM_Kilada_DS","1986631000006110",NA,NA,NA,NA,NA,NA,"1037311000000100","2618081000000110","","0"
"65ED700","112318","Kilada","25","1986641000006110","65ED7","1037331000000100","2618121000000110","Nealon","32","LSHTM","34",NA,NA,"Seasonal","65ED7","1986641000006112","DS","426","Second intranasal seasonal influenza vaccination given by pharmacist",NA,NA,NA,NA,NA,NA,NA,NA,"Nealon_LSHTM_Kilada_DS","1986641000006110",NA,NA,NA,NA,NA,NA,"1037331000000100","2618121000000110","","0"
"65ED800","111726","Kilada","23","1986651000006110","65ED8","1037351000000100","2618161000000110","Nealon","33","LSHTM","32",NA,NA,"Seasonal","65ED8","1986651000006114","DS","68","First inactivated seasonal influenza vaccination given by pharmacist",NA,NA,NA,NA,NA,NA,NA,NA,"Nealon_LSHTM_Kilada_DS","1986651000006110",NA,NA,NA,NA,NA,NA,"1037351000000100","2618161000000110","","0"
"65ED900","112490","Kilada","26","1986661000006110","65ED9","1037371000000100","2618201000000110","Nealon","34","LSHTM","35",NA,NA,"Seasonal","65ED9","1986661000006111","DS","422","Second inactivated seasonal influenza vaccination given by pharmacist",NA,NA,NA,NA,NA,NA,NA,NA,"Nealon_LSHTM_Kilada_DS","1986661000006110",NA,NA,NA,NA,NA,NA,"1037371000000100","2618201000000110","","0"
"65EE.00","107156","Kilada","12","2244031000000110","65EE","868241000000109","2244031000000110","Nealon","39","LSHTM","18",NA,NA,"Seasonal","65EE","2244031000000119","DS","28","Administration of intranasal influenza vaccination","868241000000109","2244031000000119","65EE",NA,"2244031000000119","PRIMIS","29",NA,"Nealon_LSHTM_Kilada_DS_PRIMIS","2244031000000119","65EE","65EE.00","868241000000109","2244031000000119",NA,"9","868241000000109","2244031000000119","","0"
"65EE000","106994","Kilada","10","2252131000000110","65EE0","871751000000104","2252131000000110","Nealon","40","LSHTM","16",NA,NA,"Seasonal","65EE0","2252131000000112","DS","20","Administration of first intranasal influenza vaccination","871751000000104","2252131000000112","65EE0",NA,"2252131000000112","PRIMIS","20",NA,"Nealon_LSHTM_Kilada_DS_PRIMIS","2252131000000112","65EE0","65EE000","871751000000104","2252131000000112",NA,"9","871751000000104","2252131000000112","","0"
"65EE100","106995","Kilada","11","2252191000000110","65EE1","871781000000105","2252191000000110","Nealon","41","LSHTM","17",NA,NA,"Seasonal","65EE1","2252191000000113","DS","30","Administration of second intranasal influenza vaccination","871781000000105","2252191000000113","65EE1",NA,"2252191000000113","PRIMIS","31",NA,"Nealon_LSHTM_Kilada_DS_PRIMIS","2252191000000113","65EE1","65EE100","871781000000105","2252191000000113",NA,"9","871781000000105","2252191000000113","","0"
"65EEE00","111708","Kilada","22",NA,NA,NA,NA,NA,NA,"LSHTM","31",NA,NA,"Seasonal",NA,NA,NA,NA,"Administration of intranasal influenza vaccination",NA,NA,NA,NA,NA,NA,NA,NA,"LSHTM_Kilada",NA,NA,NA,NA,NA,NA,NA,"868251000000107",NA,"","0"
"68NN.11","4517",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Peppa","83",NA,NA,NA,NA,NA,"Influenza immunisation advised",NA,NA,NA,NA,NA,NA,NA,NA,"Peppa",NA,"411961017","68NN-1","275983007","411960016",NA,"9","275983007","411960016","","0"
"68NO.00","31235",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Peppa","84",NA,NA,NA,NA,NA,"Influenza immunisation advised at home",NA,NA,NA,NA,NA,NA,NA,NA,"Peppa",NA,"778681000006117","68NO","171282003","265433012",NA,"9","171282003","265433012","","0"
"68NV.00","10821",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Peppa","52",NA,"68NV","265445015","DS","247","Influenza vaccination consent given",NA,NA,NA,NA,NA,NA,NA,NA,"Peppa_DS","265445015","68NV","68NV.00","171290003","2837355012",NA,"9","171290003","2837355012","","0"
"68NV000","104958",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Peppa","1","Seasonal","68NV0","2142381000000114","DS","59","Consent given for seasonal influenza vaccination",NA,NA,NA,NA,NA,NA,NA,NA,"Peppa_DS","2142381000000114","68NV0","68NV000","822991000000104","2142381000000114",NA,"9","822991000000104","2142381000000114","","0"
"68Nr.00","98047",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Peppa","32","Pandemic","68Nr","749241000000111","DS","58","Consent given for pandemic influenza vaccination",NA,NA,NA,NA,NA,NA,NA,NA,"Peppa_DS","749241000000111","68Nr","68Nr.00","380271000000101","749241000000111",NA,"9","380271000000101","749241000000111","","0"
"68Nt.00","99801",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Peppa","33","Pandemic","68Nt","1158771000000112","DS","57","Consent given for influenza A subtype H1N1 vaccination",NA,NA,NA,NA,NA,NA,NA,NA,"Peppa_DS","1158771000000112","68Nt","68Nt.00","518961000000102","1158771000000112",NA,"9","518961000000102","1158771000000112","","0"
"9OX1.00","18330",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Peppa","90",NA,"9OX1","285858017","DS","153","Has 'flu vaccination at home",NA,NA,NA,NA,NA,NA,NA,NA,"Peppa_DS","285858017","9OX1","9OX1.00","185900003","285858017",NA,"9","185900003","285858017","","0"
"9OX2.00","44555",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Peppa","94",NA,"9OX2","285859013","DS","152","Has'flu vaccination at surgery",NA,NA,NA,NA,NA,NA,NA,NA,"Peppa_DS","285859013","9OX2","9OX2.00","185901004","285859013",NA,"9","185901004","285859013","","0"
"9OX3.00","18684",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Peppa","91",NA,"9OX3","816791000006117","DS","155","Has influenza vaccination at hospital",NA,NA,NA,NA,NA,NA,NA,NA,"Peppa_DS","816791000006117","9OX3","9OX3.00","185902006","285861016",NA,"9","185902006","285861016","","0"
"9OX8.00","32942",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Peppa","93",NA,"9OX8","2549468013","DS","157","Has influenza vaccination at work",NA,NA,NA,NA,NA,NA,NA,NA,"Peppa_DS","2549468013","9OX8","9OX8.00","416928007","2549468013",NA,"9","416928007","2549468013","","0"
"F034G00","49070","Kilada","5",NA,NA,NA,NA,NA,NA,"LSHTM","2",NA,NA,"Seasonal",NA,NA,NA,NA,"Post influenza vaccination encephalitis",NA,NA,NA,NA,NA,NA,NA,NA,"LSHTM_Kilada",NA,"296887012","F034G","192721000","296887012",NA,"32","192721000","296887012","","0"
"U60K400","13025","Kilada","3",NA,NA,NA,NA,NA,NA,"LSHTM","1",NA,NA,"Seasonal",NA,NA,NA,NA,"Influenza virus vaccine adverse reaction",NA,NA,NA,NA,NA,NA,NA,NA,"LSHTM_Kilada",NA,"931801000006112","U60K4","420113004","2578720016",NA,"5","420113004","2578720016","","0"
"ZV04800","12336","Kilada","2","460224014","ZV048","1411000119106","2916683016","Nealon","2",NA,NA,"Peppa","55","Seasonal","ZV048","12458671000006111","DS","6","[V]Influenza vaccination",NA,NA,NA,NA,NA,NA,NA,NA,"Nealon_Kilada_Peppa_DS","460224014",NA,NA,NA,NA,NA,NA,"1411000119106","2916683016","","0"
"ZV04811","21123","Kilada","4","1227545013","ZV048-1","1411000119106","2916683016","Nealon","3",NA,NA,"Peppa","54","Seasonal","ZV048-1","1227545013","DS","4","[V]Flu - influenza vaccination",NA,NA,NA,NA,NA,NA,NA,NA,"Nealon_Kilada_Peppa_DS","1227545013","ZV048-1","ZV04811","1411000119106","2916683016",NA,"9","1411000119106","2916683016","","0"
"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"^ESCT1245806","12458061000006110","DS","1","[V]Flu - influenza vaccination",NA,NA,NA,NA,NA,NA,NA,NA,"DS","12458061000006110",NA,NA,NA,NA,NA,NA,NA,NA,"","0"
"ZV04811",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"^ESCT1245806","1227545013","DS","2","[V]Flu - influenza vaccination",NA,NA,NA,NA,NA,NA,NA,NA,"DS","1227545013","ZV048-1","ZV04811","1411000119106","2916683016",NA,"9","1411000119106","2916683016","","0"
"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"^ESCT1245867","12458671000006111","DS","5","[V]Influenza vaccination",NA,NA,NA,NA,NA,NA,NA,NA,"DS","12458671000006111",NA,NA,NA,NA,NA,NA,NA,NA,"","0"
"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Seasonal","EMISNQAD149","11935081000006112","DS","7","Adjuvanted trivalent (aTIV) inactivated seasonal influenza vaccination given by pharmacist",NA,NA,NA,NA,NA,NA,NA,NA,"DS","11935081000006112","EMISNQAD149","","11935081000006108","11935081000006112",NA,"9","11935081000006108","11935081000006112","","0"
"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"^ESCT1271533","12715331000006110","DS","8","Adjuvanted trivalent influenza vaccine (surface antigen, inactivated) suspension for injection 0.5ml pre-filled syringes",NA,NA,NA,NA,NA,NA,NA,NA,"DS","12715331000006110",NA,NA,NA,NA,NA,NA,NA,NA,"","0"
"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"^ESCT1270958","12709581000006115","DS","9","Adjuvanted trivalent influenza vaccine (surface antigen, inactivated) suspension for injection 0.5ml pre-filled syringes (Seqirus Vaccines Ltd)",NA,NA,NA,NA,NA,NA,NA,NA,"DS","12709581000006115","^ESCT1270958","","37547211000001103","358981000001118",NA,"31","37547211000001103","358981000001118","Seqirus Vaccines Ltd","1"
"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"^ESCT1270959","12709591000006117","DS","10","Adjuvanted trivalent influenza vaccine (surface antigen, inactivated) suspension for injection 0.5ml pre-filled syringes (Seqirus Vaccines Ltd) 1 pre-filled disposable injection",NA,NA,NA,NA,NA,NA,NA,NA,"DS","12709591000006117",NA,NA,NA,NA,NA,NA,"37513511000001103",NA,"Seqirus Vaccines Ltd","1"
"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"^ESCT1270960","12709601000006113","DS","11","Adjuvanted trivalent influenza vaccine (surface antigen, inactivated) suspension for injection 0.5ml pre-filled syringes (Seqirus Vaccines Ltd) 10 pre-filled disposable injection",NA,NA,NA,NA,NA,NA,NA,NA,"DS","12709601000006113",NA,NA,NA,NA,NA,NA,"37547411000001104",NA,"Seqirus Vaccines Ltd","1"
"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"^ESCT1271532","12715321000006112","DS","12","Adjuvanted trivalent influenza vaccine (surface antigen, inactivated) suspension for injection 0.5ml pre-filled syringes 1 pre-filled disposable injection",NA,NA,NA,NA,NA,NA,NA,NA,"DS","12715321000006112",NA,NA,NA,NA,NA,NA,NA,NA,"","0"
"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"^ESCT1271531","12715311000006116","DS","13","Adjuvanted trivalent influenza vaccine (surface antigen, inactivated) suspension for injection 0.5ml pre-filled syringes 10 pre-filled disposable injection",NA,NA,NA,NA,NA,NA,NA,NA,"DS","12715311000006116",NA,NA,NA,NA,NA,NA,NA,NA,"","0"
"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"^ESCT1267873","12678731000006117","DS","14","Adjuvanted trivalent influenza vaccine (surface antigen, inactivated) suspension for injection pre-filled syringes (Seqirus Vaccines Ltd)",NA,NA,NA,NA,NA,NA,NA,NA,"DS","12678731000006117",NA,NA,NA,NA,NA,NA,NA,NA,"Seqirus Vaccines Ltd","1"
"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"^ESCT1267876","12678761000006114","DS","15","Adjuvanted trivalent influenza vaccine (surface antigen, inactivated) suspension for injection pre-filled syringes (Seqirus Vaccines Ltd) 1 pre-filled disposable injection",NA,NA,NA,NA,NA,NA,NA,NA,"DS","12678761000006114",NA,NA,NA,NA,NA,NA,NA,NA,"Seqirus Vaccines Ltd","1"
"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"^ESCT1267874","12678741000006110","DS","16","Adjuvanted trivalent influenza vaccine (surface antigen, inactivated) suspension for injection pre-filled syringes (Seqirus Vaccines Ltd) 10 pre-filled disposable injection",NA,NA,NA,NA,NA,NA,NA,NA,"DS","12678741000006110",NA,NA,NA,NA,NA,NA,NA,NA,"Seqirus Vaccines Ltd","1"
"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Seasonal","EMISNQAD142","11934961000006119","DS","17","Administration of adjuvanted trivalent (aTIV) inactivated seasonal influenza vaccination",NA,NA,NA,NA,NA,NA,NA,NA,"DS","11934961000006119","EMISNQAD142","","11934961000006103","11934961000006119",NA,"9","11934961000006103","11934961000006119","","0"
"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Seasonal","EMISNQAD147","11935061000006119","DS","18","Administration of adjuvanted trivalent (aTIV) inactivated seasonal influenza vaccination given by other healthcare provider",NA,NA,NA,NA,NA,NA,NA,NA,"DS","11935061000006119","EMISNQAD147","","11935061000006103","11935061000006119",NA,"9","11935061000006103","11935061000006119","","0"
"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Seasonal","EMISNQAD139","11934931000006111","DS","24","Administration of first non adjuvanted trivalent (TIV) inactivated seasonal influenza vaccination",NA,NA,NA,NA,NA,NA,NA,NA,"DS","11934931000006111","EMISNQAD139","","11934931000006107","11934931000006111",NA,"9","11934931000006107","11934931000006111","","0"
"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Seasonal","EMISNQAD145","11935031000006111","DS","25","Administration of first non adjuvanted trivalent (TIV) inactivated seasonal influenza vaccination given by other healthcare provider",NA,NA,NA,NA,NA,NA,NA,NA,"DS","11935031000006111","EMISNQAD145","","11935031000006107","11935031000006111",NA,"9","11935031000006107","11935031000006111","","0"
"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Seasonal","EMISNQAD138","11934921000006113","DS","26","Administration of first quadrivalent (QIV) inactivated seasonal influenza vaccination",NA,NA,NA,NA,NA,NA,NA,NA,"DS","11934921000006113","EMISNQAD138","","11934921000006109","11934921000006113",NA,"9","11934921000006109","11934921000006113","","0"
"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Seasonal","EMISNQAD144","11935021000006113","DS","27","Administration of first quadrivalent (QIV) inactivated seasonal influenza vaccination given by other healthcare provider",NA,NA,NA,NA,NA,NA,NA,NA,"DS","11935021000006113","EMISNQAD144","","11935021000006109","11935021000006113",NA,"9","11935021000006109","11935021000006113","","0"
"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Seasonal","EMISNQAD141","11934951000006116","DS","33","Administration of second non adjuvanted trivalent (TIV) inactivated seasonal influenza vaccination",NA,NA,NA,NA,NA,NA,NA,NA,"DS","11934951000006116","EMISNQAD141","","11934951000006100","11934951000006116",NA,"9","11934951000006100","11934951000006116","","0"
"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Seasonal","EMISNQAD150","11935091000006110","DS","34","Administration of second non adjuvanted trivalent (TIV) inactivated seasonal influenza vaccination given by other healthcare provider",NA,NA,NA,NA,NA,NA,NA,NA,"DS","11935091000006110","EMISNQAD150","","11935091000006106","11935091000006110",NA,"9","11935091000006106","11935091000006110","","0"
"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Seasonal","EMISNQAD151","11935111000006118","DS","35","Administration of second quadrivalent (QIV) inactivated seasonal influenza vaccination",NA,NA,NA,NA,NA,NA,NA,NA,"DS","11935111000006118","EMISNQAD151","","11935111000006102","11935111000006118",NA,"9","11935111000006102","11935111000006118","","0"
"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Seasonal","EMISNQAD148","11935071000006114","DS","36","Administration of second quadrivalent (QIV) inactivated seasonal influenza vaccination given by other healthcare provider",NA,NA,NA,NA,NA,NA,NA,NA,"DS","11935071000006114","EMISNQAD148","","11935071000006105","11935071000006114",NA,"9","11935071000006105","11935071000006114","","0"
"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"^ESCTAG913670","811331000033110","DS","37","Agrippal",NA,NA,NA,NA,NA,NA,NA,NA,"DS","811331000033110",NA,NA,NA,NA,NA,NA,NA,NA,"","0"
"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"^ESCTAG913670","9136701000006117","DS","38","Agrippal",NA,NA,NA,NA,NA,NA,NA,NA,"DS","9136701000006117",NA,NA,NA,NA,NA,NA,NA,NA,"","0"
"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DRGA11648NEMIS","811331000033110","DS","39","Agrippal",NA,NA,NA,NA,NA,NA,NA,NA,"DS","811331000033110",NA,NA,NA,NA,NA,NA,NA,NA,"","0"
"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DRGA11648NEMIS","9136701000006117","DS","40","Agrippal",NA,NA,NA,NA,NA,NA,NA,NA,"DS","9136701000006117",NA,NA,NA,NA,NA,NA,NA,NA,"","0"
"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"^ESCTAG860467","8604671000006116","DS","41","Agrippal vaccine suspension for injection 0.5ml pre-filled syringes (Seqirus Vaccines Ltd)",NA,NA,NA,NA,NA,NA,NA,NA,"DS","8604671000006116",NA,NA,NA,NA,NA,NA,NA,NA,"Seqirus Vaccines Ltd","1"
"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"^ESCTAG866551","8665511000006112","DS","42","Agrippal vaccine suspension for injection 0.5ml pre-filled syringes (Seqirus Vaccines Ltd) 1 pre-filled disposable injection",NA,NA,NA,NA,NA,NA,NA,NA,"DS","8665511000006112",NA,NA,NA,NA,NA,NA,"4029011000001109",NA,"Seqirus Vaccines Ltd","1"
"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"^ESCTAG860468","8604681000006118","DS","43","Agrippal vaccine suspension for injection 0.5ml pre-filled syringes (Seqirus Vaccines Ltd) 10 pre-filled disposable injection",NA,NA,NA,NA,NA,NA,NA,NA,"DS","8604681000006118",NA,NA,NA,NA,NA,NA,"3255411000001109",NA,"Seqirus Vaccines Ltd","1"
"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"^ESCTAN810505","8105051000006117","DS","44","Annual influenza vaccination",NA,NA,NA,NA,NA,NA,NA,NA,"DS","8105051000006117",NA,NA,NA,NA,NA,NA,"325631000000101",NA,"","0"
"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"^ESCTBE914067","531431000033111","DS","45","Begrivac",NA,NA,NA,NA,NA,NA,NA,NA,"DS","531431000033111",NA,NA,NA,NA,NA,NA,NA,NA,"Novartis Vaccines and Diagnostics Ltd","1"
"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"^ESCTBE914067","9140671000006119","DS","46","Begrivac",NA,NA,NA,NA,NA,NA,NA,NA,"DS","9140671000006119",NA,NA,NA,NA,NA,NA,NA,NA,"Novartis Vaccines and Diagnostics Ltd","1"
"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DRGA6206EMIS","531431000033111","DS","47","Begrivac",NA,NA,NA,NA,NA,NA,NA,NA,"DS","531431000033111",NA,NA,NA,NA,NA,NA,NA,NA,"Novartis Vaccines and Diagnostics Ltd","1"
"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DRGA6206EMIS","9140671000006119","DS","48","Begrivac",NA,NA,NA,NA,NA,NA,NA,NA,"DS","9140671000006119",NA,NA,NA,NA,NA,NA,NA,NA,"Novartis Vaccines and Diagnostics Ltd","1"
"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"^ESCTBE860405","8604051000006119","DS","49","Begrivac vaccine suspension for injection 0.5ml pre-filled syringes (Novartis Vaccines and Diagnostics Ltd)",NA,NA,NA,NA,NA,NA,NA,NA,"DS","8604051000006119",NA,NA,NA,NA,NA,NA,NA,NA,"Novartis Vaccines and Diagnostics Ltd","1"
"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"^ESCTBE860406","8604061000006117","DS","50","Begrivac vaccine suspension for injection 0.5ml pre-filled syringes (Novartis Vaccines and Diagnostics Ltd) 1 pre-filled disposable injection",NA,NA,NA,NA,NA,NA,NA,NA,"DS","8604061000006117",NA,NA,NA,NA,NA,NA,"3247211000001100",NA,"Novartis Vaccines and Diagnostics Ltd","1"
"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"^ESCTBE860409","8604091000006113","DS","51","Begrivac vaccine suspension for injection 0.5ml pre-filled syringes (Novartis Vaccines and Diagnostics Ltd) 10 pre-filled disposable injection",NA,NA,NA,NA,NA,NA,NA,NA,"DS","8604091000006113",NA,NA,NA,NA,NA,NA,"3247511000001102",NA,"Novartis Vaccines and Diagnostics Ltd","1"
"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"^ESCTBO806126","8061261000006115","DS","52","Booster influenza vaccination","201391000000106","8061261000006115","^ESCTBO806126",NA,"306381000000110","PRIMIS","34",NA,"DS_PRIMIS","8061261000006115","^ESCTBO806126","","201391000000106","306381000000110",NA,"31","201391000000106","306381000000110","","0"
"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DRGA20870NEMIS","9150881000006119","DS","60","Enzira",NA,NA,NA,NA,NA,NA,NA,NA,"DS","9150881000006119",NA,NA,NA,NA,NA,NA,NA,NA,"Pfizer Ltd","1"
"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DRGA20870NEMIS","981231000033111","DS","61","Enzira",NA,NA,NA,NA,NA,NA,NA,NA,"DS","981231000033111",NA,NA,NA,NA,NA,NA,NA,NA,"Pfizer Ltd","1"
"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"^ESCTEN915088","9150881000006119","DS","62","Enzira",NA,NA,NA,NA,NA,NA,NA,NA,"DS","9150881000006119",NA,NA,NA,NA,NA,NA,NA,NA,"Pfizer Ltd","1"
"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"^ESCTEN915088","981231000033111","DS","63","Enzira",NA,NA,NA,NA,NA,NA,NA,NA,"DS","981231000033111",NA,NA,NA,NA,NA,NA,NA,NA,"Pfizer Ltd","1"
"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"^ESCTEN919233","9192331000006117","DS","64","Enzira vaccine suspension for injection 0.5ml pre-filled syringes (Pfizer Ltd)",NA,NA,NA,NA,NA,NA,NA,NA,"DS","9192331000006117",NA,NA,NA,NA,NA,NA,NA,NA,"Pfizer Ltd","1"
"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"^ESCTEN919235","9192351000006112","DS","65","Enzira vaccine suspension for injection 0.5ml pre-filled syringes (Pfizer Ltd) 1 pre-filled disposable injection",NA,NA,NA,NA,NA,NA,NA,NA,"DS","9192351000006112",NA,NA,NA,NA,NA,NA,"9511511000001106",NA,"Pfizer Ltd","1"
"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"^ESCTEN919237","9192371000006119","DS","66","Enzira vaccine suspension for injection 0.5ml pre-filled syringes (Pfizer Ltd) 10 pre-filled disposable injection",NA,NA,NA,NA,NA,NA,NA,NA,"DS","9192371000006119",NA,NA,NA,NA,NA,NA,"9511611000001105",NA,"Pfizer Ltd","1"
"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Seasonal","^ESCTFI843902","8439021000006116","DS","67","First inactivated seasonal influenza vaccination given by midwife","1066181000000105","8439021000006116","^ESCTFI843902",NA,"2677751000000119","PRIMIS","39",NA,"DS_PRIMIS","8439021000006116","^ESCTFI843902","","1066181000000105","2677751000000119",NA,"9","1066181000000105","2677751000000119","","0"
"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Seasonal","EMISNQFI46","11934981000006112","DS","73","First non adjuvanted trivalent (TIV) inactivated seasonal influenza vaccination given by pharmacist",NA,NA,NA,NA,NA,NA,NA,NA,"DS","11934981000006112","EMISNQFI46","","11934981000006108","11934981000006112",NA,"9","11934981000006108","11934981000006112","","0"
"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Pandemic","^ESCTFI806227","8062271000006119","DS","74","First pandemic flu vaccination",NA,NA,NA,NA,NA,NA,NA,NA,"DS","8062271000006119","^ESCTFI806227","","202301000000106","308421000000119",NA,"9","202301000000106","308421000000119","","0"
"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Seasonal","EMISNQFI45","11934971000006114","DS","77","First quadrivalent (QIV) inactivated seasonal influenza vaccination given by pharmacist",NA,NA,NA,NA,NA,NA,NA,NA,"DS","11934971000006114","EMISNQFI45","","11934971000006105","11934971000006114",NA,"9","11934971000006105","11934971000006114","","0"
"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"^ESCTFL656923","6569231000006116","DS","78","FLU - Influenza vaccine",NA,NA,NA,NA,NA,NA,NA,NA,"DS","6569231000006116","^ESCTFL656923","","396425006","1785575018",NA,"31","396425006","1785575018","","0"
